Unnamed: 0,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,csv_file
0,12,Shannon Brown,SG,6-4,205,"November 29, 1985",us,3,Michigan State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
1,24,Kobe Bryant,SG,6-6,212,"August 23, 1978",us,13,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
2,17,Andrew Bynum,C,7-0,285,"October 27, 1987",us,4,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
3,1,Jordan Farmar,PG,6-2,180,"November 30, 1986",us,3,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
4,2,Derek Fisher,PG,6-1,200,"August 9, 1974",us,13,University of Arkansas at Little Rock,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
5,16,Pau Gasol,C,7-0,250,"July 6, 1980",es,8,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
6,28,Didier Ilunga-Mbenga,C,7-0,245,"December 30, 1980",cd,5,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
7,6,Adam Morrison,SF,6-8,205,"July 19, 1984",us,2,Gonzaga University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
8,7,Lamar Odom,PF,6-10,220,"November 6, 1979",us,10,University of Rhode Island,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
9,21,Josh Powell,PF,6-9,225,"January 25, 1983",us,4,North Carolina State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
10,18,Sasha Vujačić,SG,6-7,195,"March 8, 1984",si,5,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
