player,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,link,csv_file
abrinal01,2016,23.0,OKC,NBA,SG,68.0,6.0,15.5,2.0,5.0,0.39299999999999996,1.4,3.6,0.381,0.6,1.4,0.426,0.531,0.6,0.7,0.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0,https://www.basketball-reference.com/players/a/abrinal01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/abrinal01.csv
abrinal01,2017,24.0,OKC,NBA,SG,75.0,8.0,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.44299999999999995,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,https://www.basketball-reference.com/players/a/abrinal01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/abrinal01.csv
abrinal01,2018,25.0,OKC,NBA,SG,31.0,2.0,19.0,1.8,5.1,0.35700000000000004,1.3,4.1,0.32299999999999995,0.5,1.0,0.5,0.48700000000000004,0.4,0.4,0.9229999999999999,0.2,1.4,1.5,0.6,0.5,0.2,0.5,1.7,5.3,https://www.basketball-reference.com/players/a/abrinal01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/abrinal01.csv
acyqu01,2013,23.0,TOT,NBA,SF,63.0,0.0,13.4,1.0,2.2,0.46799999999999997,0.1,0.2,0.267,1.0,2.0,0.4920000000000001,0.48200000000000004,0.6,0.8,0.66,1.1,2.3,3.4,0.4,0.4,0.4,0.5,1.9,2.7,https://www.basketball-reference.com/players/a/acyqu01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/acyqu01.csv
adamsjo01,2014,20.0,MEM,NBA,SG,30.0,0.0,8.3,1.2,2.9,0.40700000000000003,0.3,0.8,0.4,0.8,2.0,0.41,0.465,0.5,0.8,0.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1,https://www.basketball-reference.com/players/a/adamsjo01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsjo01.csv
adamsjo01,2015,21.0,MEM,NBA,SG,2.0,0.0,7.5,1.0,3.0,0.33299999999999996,0.0,0.5,0.0,1.0,2.5,0.4,0.33299999999999996,1.5,2.5,0.6,0.0,1.0,1.0,1.5,1.5,0.0,1.0,1.0,3.5,https://www.basketball-reference.com/players/a/adamsjo01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsjo01.csv
adamsst01,2013,20.0,OKC,NBA,C,81.0,20.0,14.8,1.1,2.3,0.503,0.0,0.0,,1.1,2.3,0.503,0.503,1.0,1.7,0.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3,https://www.basketball-reference.com/players/a/adamsst01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsst01.csv
adamsst01,2015,22.0,OKC,NBA,C,80.0,80.0,25.2,3.3,5.3,0.613,0.0,0.0,,3.3,5.3,0.613,0.613,1.4,2.5,0.5820000000000001,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0,https://www.basketball-reference.com/players/a/adamsst01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsst01.csv
adamsst01,2016,23.0,OKC,NBA,C,80.0,80.0,29.9,4.7,8.2,0.5710000000000001,0.0,0.0,0.0,4.7,8.2,0.5720000000000001,0.5710000000000001,2.0,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3,https://www.basketball-reference.com/players/a/adamsst01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsst01.csv
adamsst01,2017,24.0,OKC,NBA,C,76.0,76.0,32.7,5.9,9.4,0.629,0.0,0.0,0.0,5.9,9.3,0.631,0.629,2.1,3.8,0.5589999999999999,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,13.9,https://www.basketball-reference.com/players/a/adamsst01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsst01.csv
adamsst01,2018,25.0,OKC,NBA,C,80.0,80.0,33.4,6.0,10.1,0.595,0.0,0.0,0.0,6.0,10.1,0.596,0.595,1.8,3.7,0.5,4.9,4.6,9.5,1.6,1.5,1.0,1.7,2.6,13.9,https://www.basketball-reference.com/players/a/adamsst01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsst01.csv
adebaba01,2017,20.0,MIA,NBA,C,69.0,19.0,19.8,2.5,4.9,0.512,0.0,0.1,0.0,2.5,4.8,0.523,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,6.9,https://www.basketball-reference.com/players/a/adebaba01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adebaba01.csv
adrieje01,2013,27.0,TOT,NBA,PF,53.0,12.0,18.1,2.7,5.2,0.52,0.0,0.0,,2.7,5.2,0.52,0.52,1.4,2.2,0.639,1.9,3.8,5.8,0.7,0.5,0.7,0.7,2.0,6.8,https://www.basketball-reference.com/players/a/adrieje01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adrieje01.csv
afflaar01,2009,24.0,DEN,NBA,SG,82.0,75.0,27.1,3.3,7.1,0.465,1.3,3.0,0.434,2.0,4.1,0.488,0.557,0.9,1.2,0.735,0.7,2.4,3.1,1.7,0.6,0.4,0.9,2.7,8.8,https://www.basketball-reference.com/players/a/afflaar01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/afflaar01.csv
afflaar01,2010,25.0,DEN,NBA,SG,69.0,69.0,33.7,4.5,9.1,0.498,1.5,3.6,0.423,3.0,5.5,0.546,0.581,2.0,2.4,0.847,0.7,3.0,3.6,2.4,0.5,0.4,1.0,2.2,12.6,https://www.basketball-reference.com/players/a/afflaar01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/afflaar01.csv
afflaar01,2011,26.0,DEN,NBA,SG,62.0,62.0,33.6,5.3,11.3,0.47100000000000003,1.4,3.6,0.39799999999999996,3.9,7.7,0.504,0.534,3.2,4.0,0.7979999999999999,0.6,2.5,3.2,2.4,0.6,0.2,1.4,2.2,15.2,https://www.basketball-reference.com/players/a/afflaar01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/afflaar01.csv
afflaar01,2014,29.0,TOT,NBA,SG,78.0,72.0,32.1,4.8,11.3,0.424,1.5,4.3,0.354,3.3,7.1,0.466,0.491,2.1,2.5,0.843,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3,https://www.basketball-reference.com/players/a/afflaar01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/afflaar01.csv
ahearbl01,2011,27.0,UTA,NBA,PG,4.0,0.0,7.5,1.0,3.5,0.28600000000000003,0.5,2.3,0.222,0.5,1.3,0.4,0.35700000000000004,0.0,0.0,,0.0,0.5,0.5,0.3,0.0,0.0,1.3,1.0,2.5,https://www.basketball-reference.com/players/a/ahearbl01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/ahearbl01.csv
ajincal01,2009,21.0,CHA,NBA,C,6.0,0.0,5.0,0.8,1.7,0.5,0.0,0.0,,0.8,1.7,0.5,0.5,0.0,0.2,0.0,0.2,0.5,0.7,0.0,0.2,0.2,0.3,0.8,1.7,https://www.basketball-reference.com/players/a/ajincal01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/ajincal01.csv
ajincal01,2010,22.0,TOT,NBA,C,34.0,2.0,10.0,1.7,3.9,0.444,0.4,1.0,0.353,1.4,2.9,0.475,0.489,0.4,0.5,0.722,0.5,1.8,2.3,0.3,0.3,0.6,0.5,2.1,4.2,https://www.basketball-reference.com/players/a/ajincal01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/ajincal01.csv
ajincal01,2014,26.0,NOP,NBA,C,68.0,8.0,14.1,2.7,4.8,0.55,0.0,0.0,,2.7,4.8,0.55,0.55,1.2,1.5,0.818,1.5,3.1,4.6,0.7,0.3,0.8,1.0,2.2,6.5,https://www.basketball-reference.com/players/a/ajincal01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/ajincal01.csv
akoonde01,2018,25.0,DEN,NBA,SG,7.0,0.0,3.1,0.4,1.4,0.3,0.0,0.6,0.0,0.4,0.9,0.5,0.3,0.1,0.3,0.5,0.1,0.4,0.6,0.9,0.3,0.0,0.3,0.6,1.0,https://www.basketball-reference.com/players/a/akoonde01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/akoonde01.csv
aldrico01,2010,22.0,OKC,NBA,C,18.0,0.0,7.9,0.4,0.8,0.5329999999999999,0.0,0.0,,0.4,0.8,0.5329999999999999,0.5329999999999999,0.1,0.2,0.5,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1.0,https://www.basketball-reference.com/players/a/aldrico01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/aldrico01.csv
aldrico01,2011,23.0,OKC,NBA,C,26.0,0.0,6.7,0.8,1.6,0.524,0.0,0.0,,0.8,1.6,0.524,0.524,0.5,0.5,0.929,0.5,1.3,1.8,0.1,0.3,0.6,0.3,0.8,2.2,https://www.basketball-reference.com/players/a/aldrico01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/aldrico01.csv
aldrico01,2012,24.0,TOT,NBA,C,45.0,0.0,8.6,1.0,1.8,0.55,0.0,0.0,,1.0,1.8,0.55,0.55,0.3,0.4,0.6,0.7,2.0,2.7,0.2,0.1,0.5,0.5,1.3,2.2,https://www.basketball-reference.com/players/a/aldrico01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/aldrico01.csv
aldrico01,2015,27.0,LAC,NBA,C,60.0,5.0,13.3,2.2,3.8,0.596,0.0,0.0,,2.2,3.8,0.596,0.596,1.0,1.4,0.7140000000000001,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5,https://www.basketball-reference.com/players/a/aldrico01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/aldrico01.csv
aldrico01,2017,29.0,MIN,NBA,C,21.0,0.0,2.3,0.2,0.7,0.33299999999999996,0.0,0.0,,0.2,0.7,0.33299999999999996,0.33299999999999996,0.1,0.3,0.33299999999999996,0.1,0.6,0.7,0.1,0.1,0.0,0.0,0.5,0.6,https://www.basketball-reference.com/players/a/aldrico01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/aldrico01.csv
aldrila01,2009,24.0,POR,NBA,PF,78.0,78.0,37.5,7.4,15.0,0.495,0.1,0.2,0.313,7.4,14.8,0.498,0.4970000000000001,2.9,3.9,0.757,2.5,5.6,8.0,2.1,0.9,0.6,1.3,3.0,17.9,https://www.basketball-reference.com/players/a/aldrila01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/aldrila01.csv
