player,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,link,csv_file
abrinal01,2016-17,23.0,OKC,NBA,SG,68.0,6.0,15.5,2.0,5.0,0.393,1.4,3.6,0.381,0.6,1.4,0.426,0.531,0.6,0.7,0.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0,https://www.basketball-reference.com/players/a/abrinal01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/abrinal01.csv
abrinal01,2017-18,24.0,OKC,NBA,SG,75.0,8.0,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,https://www.basketball-reference.com/players/a/abrinal01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/abrinal01.csv
abrinal01,2018-19,25.0,OKC,NBA,SG,31.0,2.0,19.0,1.8,5.1,0.35700000000000004,1.3,4.1,0.32299999999999995,0.5,1.0,0.5,0.487,0.4,0.4,0.923,0.2,1.4,1.5,0.6,0.5,0.2,0.5,1.7,5.3,https://www.basketball-reference.com/players/a/abrinal01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/abrinal01.csv
acyqu01,2012-13,22.0,TOR,NBA,PF,29.0,0.0,11.8,1.4,2.6,0.56,0.0,0.1,0.5,1.4,2.5,0.562,0.5670000000000001,1.1,1.3,0.816,1.0,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4.0,https://www.basketball-reference.com/players/a/acyqu01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/acyqu01.csv
acyqu01,2014-15,24.0,NYK,NBA,PF,68.0,22.0,18.9,2.2,4.9,0.459,0.3,0.9,0.3,2.0,4.0,0.494,0.486,1.1,1.4,0.784,1.2,3.3,4.4,1.0,0.4,0.3,0.9,2.2,5.9,https://www.basketball-reference.com/players/a/acyqu01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/acyqu01.csv
acyqu01,2015-16,25.0,SAC,NBA,PF,59.0,29.0,14.8,2.0,3.6,0.556,0.3,0.8,0.388,1.7,2.8,0.606,0.6,0.8,1.2,0.735,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,5.2,https://www.basketball-reference.com/players/a/acyqu01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/acyqu01.csv
acyqu01,2016-17,26.0,TOT,NBA,PF,38.0,1.0,14.7,1.8,4.5,0.412,1.0,2.4,0.411,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3.0,0.5,0.4,0.4,0.6,1.8,5.8,https://www.basketball-reference.com/players/a/acyqu01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/acyqu01.csv
acyqu01,2016-17,26.0,DAL,NBA,PF,6.0,0.0,8.0,0.8,2.8,0.294,0.2,1.2,0.14300000000000002,0.7,1.7,0.4,0.324,0.3,0.5,0.667,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.5,2.2,https://www.basketball-reference.com/players/a/acyqu01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/acyqu01.csv
acyqu01,2016-17,26.0,BRK,NBA,PF,32.0,1.0,15.9,2.0,4.8,0.425,1.1,2.6,0.434,0.9,2.2,0.414,0.542,1.3,1.8,0.754,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,6.5,https://www.basketball-reference.com/players/a/acyqu01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/acyqu01.csv
acyqu01,2017-18,27.0,BRK,NBA,PF,70.0,8.0,19.4,1.9,5.2,0.35600000000000004,1.5,4.2,0.349,0.4,1.0,0.384,0.496,0.7,0.9,0.8170000000000001,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9,https://www.basketball-reference.com/players/a/acyqu01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/acyqu01.csv
acyqu01,2018-19,28.0,PHO,NBA,PF,10.0,0.0,12.3,0.4,1.8,0.222,0.2,1.5,0.133,0.2,0.3,0.667,0.278,0.7,1.0,0.7,0.3,2.2,2.5,0.8,0.1,0.4,0.4,2.4,1.7,https://www.basketball-reference.com/players/a/acyqu01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/acyqu01.csv
acyqu01,2013-14,23.0,TOT,NBA,SF,63.0,0.0,13.4,1.0,2.2,0.468,0.1,0.2,0.267,1.0,2.0,0.4920000000000001,0.482,0.6,0.8,0.66,1.1,2.3,3.4,0.4,0.4,0.4,0.5,1.9,2.7,https://www.basketball-reference.com/players/a/acyqu01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/acyqu01.csv
acyqu01,2013-14,23.0,TOR,NBA,SF,7.0,0.0,8.7,0.9,2.0,0.429,0.3,0.7,0.4,0.6,1.3,0.444,0.5,0.7,1.1,0.625,0.7,1.4,2.1,0.6,0.6,0.4,0.3,1.1,2.7,https://www.basketball-reference.com/players/a/acyqu01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/acyqu01.csv
acyqu01,2013-14,23.0,SAC,NBA,SF,56.0,0.0,14.0,1.1,2.3,0.472,0.0,0.2,0.2,1.0,2.1,0.496,0.48,0.5,0.8,0.667,1.2,2.4,3.6,0.4,0.3,0.4,0.5,2.0,2.7,https://www.basketball-reference.com/players/a/acyqu01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/acyqu01.csv
adamsjo01,2014-15,20.0,MEM,NBA,SG,30.0,0.0,8.3,1.2,2.9,0.407,0.3,0.8,0.4,0.8,2.0,0.41,0.465,0.5,0.8,0.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1,https://www.basketball-reference.com/players/a/adamsjo01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsjo01.csv
adamsjo01,2015-16,21.0,MEM,NBA,SG,2.0,0.0,7.5,1.0,3.0,0.333,0.0,0.5,0.0,1.0,2.5,0.4,0.333,1.5,2.5,0.6,0.0,1.0,1.0,1.5,1.5,0.0,1.0,1.0,3.5,https://www.basketball-reference.com/players/a/adamsjo01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsjo01.csv
adamsst01,2013-14,20.0,OKC,NBA,C,81.0,20.0,14.8,1.1,2.3,0.503,0.0,0.0,,1.1,2.3,0.503,0.503,1.0,1.7,0.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3,https://www.basketball-reference.com/players/a/adamsst01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsst01.csv
adamsst01,2014-15,21.0,OKC,NBA,C,70.0,67.0,25.3,3.1,5.7,0.544,0.0,0.0,0.0,3.1,5.7,0.547,0.544,1.5,2.9,0.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7,https://www.basketball-reference.com/players/a/adamsst01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsst01.csv
adamsst01,2015-16,22.0,OKC,NBA,C,80.0,80.0,25.2,3.3,5.3,0.613,0.0,0.0,,3.3,5.3,0.613,0.613,1.4,2.5,0.5820000000000001,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0,https://www.basketball-reference.com/players/a/adamsst01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsst01.csv
adamsst01,2016-17,23.0,OKC,NBA,C,80.0,80.0,29.9,4.7,8.2,0.5710000000000001,0.0,0.0,0.0,4.7,8.2,0.5720000000000001,0.5710000000000001,2.0,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3,https://www.basketball-reference.com/players/a/adamsst01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsst01.csv
adamsst01,2017-18,24.0,OKC,NBA,C,76.0,76.0,32.7,5.9,9.4,0.629,0.0,0.0,0.0,5.9,9.3,0.631,0.629,2.1,3.8,0.5589999999999999,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,13.9,https://www.basketball-reference.com/players/a/adamsst01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsst01.csv
adamsst01,2018-19,25.0,OKC,NBA,C,80.0,80.0,33.4,6.0,10.1,0.595,0.0,0.0,0.0,6.0,10.1,0.596,0.595,1.8,3.7,0.5,4.9,4.6,9.5,1.6,1.5,1.0,1.7,2.6,13.9,https://www.basketball-reference.com/players/a/adamsst01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adamsst01.csv
adebaba01,2017-18,20.0,MIA,NBA,C,69.0,19.0,19.8,2.5,4.9,0.512,0.0,0.1,0.0,2.5,4.8,0.523,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,6.9,https://www.basketball-reference.com/players/a/adebaba01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/adebaba01.csv
